1,501,adds,1
1,465,adds,2
9,466,adds,3
12,476,adds,4
12,258,adds,5
2,467,adds,6
1,401,adds,7
2,487,adds,8
12,462,adds,9
8,405,adds,10
3,325,adds,11
2,338,adds,12
2,340,adds,13
1,330,adds,14
1,341,adds,15
1,331,adds,16
12,196,adds,18
1,169,adds,19
5,187,adds,20
12,323,adds,23
12,134,adds,24
8,319,adds,30
12,258,adds,31
12,181,adds,33
10,307,adds,34
6,439,adds,35
7,191,adds,37
3,180,adds,38
2,44,adds,39
12,124,adds,40
2,118,adds,41
1,97,adds,42
3,36,adds,43
12,179,adds,44
10,276,adds,45
11,141,adds,46
12,195,adds,47
5,52,adds,48
8,107,adds,49
7,470,adds,50
12,258,adds,52
12,191,adds,53
1,89,adds,54
2,113,adds,55
12,90,adds,57
12,425,adds,58
12,131,adds,59
8,249,adds,60
8,152,adds,61
9,296,adds,65
12,166,adds,66
3,307,adds,67
8,85,adds,68
10,78,adds,69
6,65,adds,70
9,28,adds,72
12,12,adds,73
1,31,adds,74
11,189,adds,75
12,292,adds,79
12,255,adds,80
12,244,adds,82
11,162,adds,83
10,43,adds,84
12,176,adds,85
11,72,adds,86
3,16,adds,87
9,21,adds,88
12,197,adds,89
1,443,drops,1
1,331,drops,2
12,455,drops,4
12,493,drops,5
2,340,drops,6
1,330,drops,7
2,339,drops,8
12,323,drops,9
1,449,drops,14
9,279,drops,17
12,179,drops,18
3,180,drops,21
2,182,drops,22
12,166,drops,23
12,124,drops,24
5,303,drops,25
11,114,drops,26
8,183,drops,27
2,140,drops,28
3,119,drops,29
8,107,drops,30
12,255,drops,31
1,97,drops,32
12,195,drops,33
10,299,drops,34
6,314,drops,35
5,177,drops,36
7,160,drops,37
3,21,drops,38
2,467,drops,39
12,131,drops,40
2,113,drops,41
1,442,drops,42
3,181,drops,43
12,191,drops,44
10,271,drops,45
11,162,drops,46
12,258,drops,47
8,144,drops,49
7,294,drops,50
7,269,drops,51
12,90,drops,52
12,176,drops,53
2,44,drops,55
5,63,drops,56
12,179,drops,57
12,129,drops,58
8,252,drops,60
8,229,drops,61
12,244,drops,62
5,243,drops,63
5,246,drops,64
9,276,drops,65
12,197,drops,66
3,180,drops,67
10,69,drops,69
13,83,drops,71
9,21,drops,72
12,223,drops,73
11,45,drops,75
7,56,drops,76
6,19,drops,77
1,47,drops,78
12,307,drops,79
12,12,drops,80
8,46,drops,81
12,281,drops,82
11,36,drops,83
10,14,drops,84
12,8,drops,85
11,85,drops,86
3,74,drops,87
9,48,drops,88
12,30,drops,89
18,442,adds,90
28,222,adds,91
27,474,adds,92
28,479,adds,93
24,219,adds,95
27,217,adds,96
15,319,adds,99
15,485,adds,101
23,357,adds,102
23,340,adds,103
28,325,adds,104
23,476,adds,105
15,323,adds,106
22,495,adds,107
25,401,adds,108
24,320,adds,109
24,223,adds,110
19,487,adds,114
28,497,adds,115
20,502,adds,116
27,169,adds,118
18,187,adds,119
23,258,adds,120
27,98,adds,121
27,258,adds,123
24,439,adds,128
19,496,adds,129
21,151,adds,130
23,265,adds,132
23,313,adds,133
20,179,adds,134
20,503,adds,135
27,180,adds,136
18,284,adds,137
19,118,adds,138
15,52,adds,139
19,45,adds,140
27,465,adds,141
20,276,adds,142
20,287,adds,143
18,266,adds,144
20,189,adds,145
15,107,adds,146
17,131,adds,147
24,298,adds,148
15,57,adds,149
27,285,adds,150
22,296,adds,151
24,191,adds,152
21,90,adds,153
27,149,adds,155
15,65,adds,156
22,470,adds,159
15,118,adds,160
22,255,adds,161
18,166,adds,162
22,57,adds,163
27,152,adds,164
24,85,adds,165
18,200,adds,166
22,78,adds,167
17,144,adds,168
20,310,adds,169
19,238,adds,173
15,292,adds,175
19,236,adds,176
27,247,adds,177
19,138,adds,178
18,455,drops,90
27,493,drops,92
23,222,drops,94
24,223,drops,95
17,219,drops,97
20,217,drops,98
15,323,drops,99
15,352,drops,100
23,340,drops,102
23,357,drops,103
23,485,drops,105
25,495,drops,108
24,263,drops,109
22,255,drops,111
23,265,drops,112
23,305,drops,113
19,314,drops,114
28,269,drops,115
24,191,drops,117
27,180,drops,118
18,200,drops,119
27,258,drops,121
20,98,drops,122
27,183,drops,123
23,140,drops,124
17,131,drops,125
15,103,drops,126
15,107,drops,127
24,294,drops,128
21,119,drops,130
25,100,drops,131
23,262,drops,132
23,339,drops,133
20,113,drops,134
20,287,drops,135
27,465,drops,136
18,176,drops,137
19,138,drops,138
15,118,drops,139
27,165,drops,141
20,271,drops,142
20,310,drops,143
18,284,drops,144
20,179,drops,145
15,151,drops,146
17,144,drops,147
15,65,drops,149
27,149,drops,150
22,57,drops,151
24,54,drops,152
21,246,drops,153
19,238,drops,154
27,252,drops,155
15,63,drops,156
28,243,drops,157
28,229,drops,158
15,114,drops,160
18,180,drops,162
22,56,drops,163
27,84,drops,164
24,124,drops,165
18,19,drops,166
22,83,drops,167
17,47,drops,168
20,48,drops,169
22,14,drops,170
22,45,drops,171
19,496,drops,173
26,25,drops,174
15,21,drops,175
19,250,drops,176
27,46,drops,177
